Marca Temporal;Cantidad;Método;Tipo;Ingreso - Categoría;Gasto - Categoría;Descripción;Mes;Anio
14/2/2025 18:33;27000;Mercado Pago;?? Gasto;;Reserva;Guille;2;2025
15/2/2025 09:12;4300;Mercado Pago;?? Gasto;;Caro;Starbucks Café;2;2025
15/2/2025 17:12;5000;Mercado Pago;?? Gasto;Sube;;;2;2025
15/2/2025 19:16;12000;Mercado Pago;?? Ingreso;Trabajo;;Cresci;2;2025
16/2/2025 17:42;20000;Mercado Pago;?? Gasto;;Ahorro;;2;2025
17/2/2025 15:08;1700;Mercado Pago;?? Gasto;;Ocio;Alfajor Caty;2;2025
17/2/2025 21:17;28000;Mercado Pago;?? Ingreso;Trabajo;;Nasjleti;2;2025
17/2/2025 21:17;4;Mercado Pago;?? Deuda;;;Nasjleti;2;2025
18/2/2025 08:13;1000;Mercado Pago;?? Gasto;;Caro;Cine Fan;2;2025
18/2/2025 14:16;12000;4;?? Ingreso;Trabajo;;Cresci;2;2025
18/2/2025 21:17;24000;Mercado Pago;?? Deuda;;;Cresci;2;2025
18/2/2025 21:21;2950;Mercado Pago;?? Gasto;;Impresiones;Resumen admin;2;2025
20/2/2025 12:34;12000;Mercado Pago;?? Ingreso;Trabajo;;Nasjleti;2;2025
20/2/2025 16:32;6470;Mercado Pago;?? Gasto;;Caro;Almuerzo Crypto;2;2025
20/2/2025 16:33;15399;Mercado Pago;?? Gasto;;Caro;Sushi;2;2025
20/2/2025 16:33;8500;Mercado Pago;?? Gasto;;Caro;Jevi coca y doritos;2;2025
20/2/2025 16:33;8400;Mercado Pago;?? Gasto;;Caro;Desayuno Insólito;2;2025
21/2/2025 07:49;5000;Mercado Pago;?? Gasto;;Sube;;2;2025
21/2/2025 12:28;1400;Mercado Pago;?? Gasto;;Gematic;Don Satur;2;2025
21/2/2025 12:34;12000;Mercado Pago;?? Deuda;;;Nasjleti;2;2025
21/2/2025 14:40;13000;Mercado Pago;?? Gasto;;Caro;Cinna and Co;2;2025
22/2/2025 17:03;7500;Mercado Pago;?? Gasto;;Fútbol;Partido Pedro;2;2025
22/2/2025 22:56;8812;Mercado Pago;?? Gasto;;Caro;Subway;2;2025
23/2/2025 11:56;8000;Mercado Pago;?? Gasto;;Caro;Tequeños;2;2025
26/2/2025 17:11;1400;Mercado Pago;?? Gasto;;Gematic;Don satur;2;2025
26/2/2025 17:13;2100;Mercado Pago;?? Gasto;;Caro;Alfajores Rasta;2;2025
26/2/2025 17:23;2691,13;Mercado Pago;?? Gasto;;Caro;Hacienda Caro;2;2025
28/2/2025 15:00;20000;Mercado Pago;?? Gasto;Transferencia;;;2;2025
28/2/2025 16:00;20000;Efectivo;?? Ingreso;Transferencia;;;2;2025
1/3/2025 16:37;25088,97;Mercado Pago;?? Gasto;;Gym;Planet Fit;3;2025
2/3/2025 15:57;80811,15;Mercado Pago;?? Ingreso;Mamá/Papá;;Mensualidad;3;2025
6/3/2025 11:02;10327,46;Mercado Pago;?? Gasto;;Ocio;1/3 Cuota Memoria Ram;3;2025
6/3/2025 11:04;9397,57;Mercado Pago;?? Ingreso;Reserva;;;3;2025
6/3/2025 11:05;27305,28;Mercado Pago;?? Ingreso;Mamá/Papá;;Diferencia Cuota UCA;3;2025
6/3/2025 11:06;15700;Mercado Pago;?? Gasto;;Ahorro;;3;2025
6/3/2025 16:31;5700;Mercado Pago;?? Gasto;;Ocio;Helado El Fundador;3;2025
8/3/2025 17:28;21000;Mercado Pago;?? Gasto;;Caro;Café insólito desayuno;3;2025
8/3/2025 17:29;10000;Mercado Pago;?? Gasto;;Regalo;Stickers Caro y Caty;3;2025
8/3/2025 17:39;6000;Mercado Pago;?? Gasto;;Caro;Flores Caro;3;2025
8/3/2025 19:22;9500;Mercado Pago;?? Gasto;;Caro;Cinta Monoblock;3;2025
9/3/2025 11:46;10500;Mercado Pago;?? Gasto;;Caro;Medialunes Mantequería;3;2025
